period,cagr,mdd,sharpe,trades
50,14.303081226428338,-21.2629002666443,1.1368315502296769,96
55,15.2945420390034,-21.496824370618427,1.1956451704445246,68
60,14.674153785820486,-21.046433246173113,1.1525377809733077,73
65,13.944884994011986,-21.83548206033289,1.1122329499468662,81
70,14.280155667851835,-22.031812973583563,1.1321437772940572,82
75,14.461330548250984,-22.017081448813258,1.1433617578293975,72
80,14.653491999355971,-22.01679047744689,1.1555038630601486,68
85,15.09443402075168,-21.838656924201572,1.1817044495182718,60
90,15.347358003995648,-21.44248509270733,1.196747864548027,64
95,15.585199967064845,-22.048613015969632,1.2089165758326907,58
100,15.66558064287853,-22.048305265659685,1.2142092032071299,52
105,16.0187139996663,-21.10935488678678,1.235248446714465,42
110,16.05796915756237,-20.664413738853995,1.2348347431906703,36
115,16.210590187370432,-21.713582772524997,1.2453297739467875,34
120,16.236253405352464,-21.40310467163591,1.2466856098865322,30
125,16.502469008486443,-21.53317632876499,1.263040551070612,30
130,16.311869467727757,-22.61607294574287,1.25275408682717,28
135,16.299522669016397,-22.61888921528239,1.2500287859493588,28
140,16.741256603516042,-22.267944236048177,1.274392960145563,24
145,16.99779068727212,-21.790269004344964,1.2888208640332086,22
150,17.021412370809273,-21.34934423440352,1.2884777266557792,20
155,17.15910001222516,-21.088507894578214,1.300499991242229,20
160,17.504526619557904,-20.18259754157293,1.3224391213709499,18
165,17.54810511521501,-20.18259754157293,1.3251550116109765,18
170,17.466615348520808,-20.32156707934426,1.3202633369122139,20
175,17.565791624378214,-19.964802390416747,1.3268162406399475,18
180,17.679224645288972,-19.41661949002803,1.33318885481906,16
185,17.83502335963325,-19.41661949002803,1.3430518970527556,14
190,17.699091673448052,-19.41661949002803,1.3363396526952755,14
195,17.57609104450828,-20.59429210142102,1.327319683555017,10
200,17.431271148230955,-21.639564256263576,1.3171595311430784,10
205,17.04684269720069,-22.054413015332162,1.2926782437046573,16
210,16.677414947335656,-22.146130181672707,1.2678917123964661,20
215,16.6000497988696,-22.4234131450049,1.263185122979939,20
220,16.559337371127114,-22.4234131450049,1.2614705636537917,20
225,16.442623457475847,-22.382340262958945,1.2543162638407492,18
230,16.53807923268453,-22.382340262958945,1.2608046790881358,20
235,16.33090183158088,-22.382340262958945,1.2487268032110737,22
240,16.208744685921772,-22.382340262958945,1.2411183653601596,22
245,16.132317432665854,-22.536493903408473,1.2364815531891769,24
250,16.598351223997,-22.16283543775687,1.2621148307299737,20
