Asset,Strategy_MDD,Strategy_CAGR,Final_Value
UUP,-0.2552823975271497,0.11054905779137236,5.420322514864765
SHY,-0.2688775056193705,0.11561784744942005,5.833159559173567
BIL,-0.2728284024979602,0.11489711519284307,5.772711546427133
IEF,-0.2781551560148488,0.11771874848497155,6.0127679856682406
XLP,-0.3215853699997777,0.13711008660500523,7.933838334291664
GLD,-0.32606957029280076,0.1350803234340725,7.7086141769349705
TLT,-0.3442189260273361,0.1140165123175696,5.699652615362803
DBC,-0.34857598479911994,0.10698400030645305,5.146552698184862
XLU,-0.37706855076987794,0.14334788091413775,8.665233255707594
EDV,-0.38950799028913385,0.11288179036822532,5.606789195496714
